P_hour,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
biomass,0.015941559,0.012546902,0.011122138,0.008264757,0.009168005,0.015402628,0.018693307,0.017026029,0.017433156,0.016606271,0.013684819,0.01232885,0.011485382,0.026066323,0.028383594,0.040938818,0.065174624,0.120792865,0.133847805,0.126023901,0.105390465,0.079090624,0.071197907,0.023389273
others,0.0158,0.0150,0.0150,0.0150,0.0154,0.0208,0.0496,0.0638,0.0654,0.0650,0.0563,0.0483,0.0446,0.0442,0.0417,0.0408,0.0413,0.0467,0.0588,0.0633,0.0579,0.0563,0.0417,0.0175
