Code,Copert_V_name,EFbase
HDVD_75,Heavy Duty Trucks_Diesel_Articulated 28 - 34 t_Euro IV,0.03275
HDVD_76,Heavy Duty Trucks_Diesel_Articulated 28 - 34 t_Euro V,0.03275
HDVD_77,Heavy Duty Trucks_Diesel_Articulated 28 - 34 t_Euro VI,0.03275
HDVD_78,Heavy Duty Trucks_Diesel_Articulated 34 - 40 t_Conventional,0.03275
HDVD_79,Heavy Duty Trucks_Diesel_Articulated 34 - 40 t_Euro I,0.03275
HDVD_80,Heavy Duty Trucks_Diesel_Articulated 34 - 40 t_Euro II,0.03275
HDVD_81,Heavy Duty Trucks_Diesel_Articulated 34 - 40 t_Euro III,0.03275
HDVD_82,Heavy Duty Trucks_Diesel_Articulated 34 - 40 t_Euro IV,0.03275
HDVD_83,Heavy Duty Trucks_Diesel_Articulated 34 - 40 t_Euro V,0.03275
HDVD_84,Heavy Duty Trucks_Diesel_Articulated 34 - 40 t_Euro VI,0.03275
HDVD_85,Heavy Duty Trucks_Diesel_Articulated 40 - 50 t_Conventional,0.03275
HDVD_86,Heavy Duty Trucks_Diesel_Articulated 40 - 50 t_Euro I,0.03275
HDVD_87,Heavy Duty Trucks_Diesel_Articulated 40 - 50 t_Euro II,0.03275
HDVD_88,Heavy Duty Trucks_Diesel_Articulated 40 - 50 t_Euro III,0.03275
HDVD_89,Heavy Duty Trucks_Diesel_Articulated 40 - 50 t_Euro IV,0.03275
HDVD_90,Heavy Duty Trucks_Diesel_Articulated 40 - 50 t_Euro V,0.03275
HDVD_91,Heavy Duty Trucks_Diesel_Articulated 40 - 50 t_Euro VI,0.03275
