Code,Copert_V_name,Technology,Mode,Road.Slope,Load,Min.Speed,Max.Speed,Alpha,Beta,Gamma,Delta,Epsilon,Zita,Hta,RF,Q,PF,T
PCG_25,Passenger Cars_Petrol_Medium_Euro 3,,,,,5,130,7.22E-14,6.753294739,42.32724901,3.23E-07,-0.146573192,20.90033725,0.590294094,0,1,1,1 
PCG_26,Passenger Cars_Petrol_Medium_Euro 4,,,,,5,130,5.50E-12,-0.033417612,5.109834522,-1.04E-07,0.001871536,-0.528830906,37.50573903,0,1,1,1 
PCG_27,Passenger Cars_Petrol_Medium_Euro 5,,,,,5,130,0.000445266,-0.102075932,6.876928223,10.38384947,0.001621048,-0.437563056,30.33733277,0,1,1,1 
PCG_28,Passenger Cars_Petrol_Medium_Euro 6 up to 2016,,,,,5,130,0.000851042,-0.179925714,11.29748761,16.90216992,0.00264282,-0.718982971,50.79368865,0,1,1,1 
PCG_29,Passenger Cars_Petrol_Medium_Euro 6 2017-2019,,,,,5,130,0.000709632,-0.147505135,9.127306244,8.823212876,0.002001726,-0.545454105,38.70206908,0,1,1,1 
PCG_30,Passenger Cars_Petrol_Medium_Euro 6 2020+,,,,,5,130,0.000709632,-0.147505135,9.127306244,8.823212876,0.002001726,-0.545454105,38.70206908,0,1,1,1 
PCG_31,Passenger Cars_Petrol_Large-SUV-Executive_PRE ECE,,,,,10,130,5.11E-05,-0.011168842,0.781285089,15.31617818,1.86E-08,-0.000145353,0.034631454,0,1,1,1 
PCG_32,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/00-01,,,,,10,130,0.000194128,-0.020742314,0.988185431,16.37243892,6.09E-07,4.01E-05,0.044491353,0,1,1,1 
PCG_33,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/02,,,,,10,130,1.97E-05,-0.002738675,0.055209901,5.719321934,1.24E-06,-0.000228222,0.014719689,0,1,1,1 
PCG_34,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/03,,,,,10,130,1.38E-05,-0.003838486,0.344235374,4.703134868,-3.25E-06,0.000402946,0.010533482,0,1,1,1 
PCG_35,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/04,,,,,10,130,6.82E-06,-0.000785716,-0.016810142,4.96227077,1.12E-06,-0.000227815,0.016878781,0,1,1,1 
PCG_36,Passenger Cars_Petrol_Large-SUV-Executive_Euro 1,,,,,5,130,0.000527709,-0.079119828,8.693715335,3.44E-12,-0.000738169,0.100307823,0.779481244,0,1,1,1 
PCG_37,Passenger Cars_Petrol_Large-SUV-Executive_Euro 2,,,,,5,130,-6.49E-06,0.005877958,2.339936978,7.43E-13,-0.000974238,0.135279405,0.038660255,0,1,1,1 
PCG_38,Passenger Cars_Petrol_Large-SUV-Executive_Euro 3,,,,,5,130,7.22E-14,6.753294739,42.32724901,3.23E-07,-0.146573192,20.90033725,0.590294094,0,1,1,1 
PCG_39,Passenger Cars_Petrol_Large-SUV-Executive_Euro 4,,,,,5,130,5.50E-12,-0.033417612,5.109834522,-1.04E-07,0.001871536,-0.528830906,37.50573903,0,1,1,1 
PCG_40,Passenger Cars_Petrol_Large-SUV-Executive_Euro 5,,,,,5,130,0.000445266,-0.102075932,6.876928223,10.38384947,0.001621048,-0.437563056,30.33733277,0,1,1,1 
PCG_41,Passenger Cars_Petrol_Large-SUV-Executive_Euro 6 up to 2016,,,,,5,130,0.000851042,-0.179925714,11.29748761,16.90216992,0.00264282,-0.718982971,50.79368865,0,1,1,1 
PCG_42,Passenger Cars_Petrol_Large-SUV-Executive_Euro 6 2017-2019,,,,,5,130,0.000709632,-0.147505135,9.127306244,8.823212876,0.002001726,-0.545454105,38.70206908,0,1,1,1 
PCG_43,Passenger Cars_Petrol_Large-SUV-Executive_Euro 6 2020+,,,,,5,130,0.000709632,-0.147505135,9.127306244,8.823212876,0.002001726,-0.545454105,38.70206908,0,1,1,1 
PCD_28,Passenger Cars_Diesel_Mini_Euro 4,,,,,10,130,8.50E-05,-0.012728088,0.999003862,0.882469675,0.001982367,0.04202091,2.876822862,0,1,1,1 
PCD_29,Passenger Cars_Diesel_Mini_Euro 5,,,,,10,120,-0.001667067,0.212609273,-0.744959136,0.717101531,0.027359958,1.513203088,7.41E-09,0,1,1,1 
PCD_30,Passenger Cars_Diesel_Mini_Euro 6 up to 2016,,,,,10,130,3.31E-05,-0.005727832,0.282346192,0.943071292,0.000354315,-0.070543085,4.611405233,0,1,1,1 
