Code,Copert_V_name,Technology,Mode,Road.Slope,Load,Min.Speed,Max.Speed,Alpha,Beta,Gamma,Delta,Epsilon,Zita,Hta,RF,Q,PF,T
PCG_7,Passenger Cars_Petrol_Small_Open Loop,,Urban Off Peak,,,10,130,0,0,131,0,0,0,1000,0,1,1,1 
PCG_7,Passenger Cars_Petrol_Small_Open Loop,,Rural,,,10,130,0,0,86,0,0,0,1000,0,1,1,1 
PCG_7,Passenger Cars_Petrol_Small_Open Loop,,Highway,,,10,130,0,0,41,0,0,0,1000,0,1,1,1 
PCG_8,Passenger Cars_Petrol_Small_Euro 1,,Urban Peak,,,10,130,0,0,26,0,0,0,1000,0,1,1,1 
PCG_8,Passenger Cars_Petrol_Small_Euro 1,,Urban Off Peak,,,10,130,0,0,26,0,0,0,1000,0,1,1,1 
PCG_8,Passenger Cars_Petrol_Small_Euro 1,,Rural,,,10,130,0,0,16,0,0,0,1000,0,1,1,1 
PCG_8,Passenger Cars_Petrol_Small_Euro 1,,Highway,,,10,130,0,0,14,0,0,0,1000,0,1,1,1 
PCG_9,Passenger Cars_Petrol_Small_Euro 2,,Urban Peak,,,10,130,0,0,17,0,0,0,1000,0,1,1,1 
PCG_9,Passenger Cars_Petrol_Small_Euro 2,,Urban Off Peak,,,10,130,0,0,17,0,0,0,1000,0,1,1,1 
PCG_9,Passenger Cars_Petrol_Small_Euro 2,,Rural,,,10,130,0,0,13,0,0,0,1000,0,1,1,1 
PCG_9,Passenger Cars_Petrol_Small_Euro 2,,Highway,,,10,130,0,0,11,0,0,0,1000,0,1,1,1 
PCG_10,Passenger Cars_Petrol_Small_Euro 3,,Urban Peak,,,10,130,0,0,3,0,0,0,1000,0,1,1,1 
PCG_10,Passenger Cars_Petrol_Small_Euro 3,,Urban Off Peak,,,10,130,0,0,3,0,0,0,1000,0,1,1,1 
PCG_10,Passenger Cars_Petrol_Small_Euro 3,,Rural,,,10,130,0,0,2,0,0,0,1000,0,1,1,1 
PCG_10,Passenger Cars_Petrol_Small_Euro 3,,Highway,,,10,130,0,0,4,0,0,0,1000,0,1,1,1 
PCG_11,Passenger Cars_Petrol_Small_Euro 4,,Urban Peak,,,10,130,0,0,2.87,0,0,0,1000,0,1,1,1 
PCG_11,Passenger Cars_Petrol_Small_Euro 4,,Urban Off Peak,,,10,130,0,0,2.87,0,0,0,1000,0,1,1,1 
PCG_11,Passenger Cars_Petrol_Small_Euro 4,,Rural,,,10,130,0,0,2.69,0,0,0,1000,0,1,1,1 
PCG_11,Passenger Cars_Petrol_Small_Euro 4,,Highway,,,10,130,0,0,5.08,0,0,0,1000,0,1,1,1 
PCG_12,Passenger Cars_Petrol_Small_Euro 5,,Urban Peak,,,10,130,0,0,2.87,0,0,0,1000,0,1,1,1 
PCG_12,Passenger Cars_Petrol_Small_Euro 5,,Urban Off Peak,,,10,130,0,0,2.87,0,0,0,1000,0,1,1,1 
PCG_12,Passenger Cars_Petrol_Small_Euro 5,,Rural,,,10,130,0,0,2.69,0,0,0,1000,0,1,1,1 
