Code,Copert_V_name,Technology,Mode,Road.Slope,Load,Min.Speed,Max.Speed,Alpha,Beta,Gamma,Delta,Epsilon,Zita,Hta,RF,Q,PF,T
PCG_32,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/00-01,,Urban Off Peak,,,10,130,0,0,0.00322,0,0,0,1,0,1,1,1 
PCG_32,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/00-01,,Rural,,,10,130,0,0,0.00184,0,0,0,1,0,1,1,1 
PCG_32,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/00-01,,Highway,,,10,130,0,0,0.0019,0,0,0,1,0,1,1,1 
PCG_33,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/02,,Urban Peak,,,10,130,0,0,0.00322,0,0,0,1,0,1,1,1 
PCG_33,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/02,,Urban Off Peak,,,10,130,0,0,0.00322,0,0,0,1,0,1,1,1 
PCG_33,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/02,,Rural,,,10,130,0,0,0.00184,0,0,0,1,0,1,1,1 
PCG_33,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/02,,Highway,,,10,130,0,0,0.0019,0,0,0,1,0,1,1,1 
PCG_34,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/03,,Urban Peak,,,10,130,0,0,0.00322,0,0,0,1,0,1,1,1 
PCG_34,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/03,,Urban Off Peak,,,10,130,0,0,0.00322,0,0,0,1,0,1,1,1 
PCG_34,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/03,,Rural,,,10,130,0,0,0.00184,0,0,0,1,0,1,1,1 
PCG_34,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/03,,Highway,,,10,130,0,0,0.0019,0,0,0,1,0,1,1,1 
PCG_35,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/04,,Urban Peak,,,10,130,0,0,0.00322,0,0,0,1,0,1,1,1 
PCG_35,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/04,,Urban Off Peak,,,10,130,0,0,0.00322,0,0,0,1,0,1,1,1 
PCG_35,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/04,,Rural,,,10,130,0,0,0.00184,0,0,0,1,0,1,1,1 
PCG_35,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/04,,Highway,,,10,130,0,0,0.0019,0,0,0,1,0,1,1,1 
PCG_36,Passenger Cars_Petrol_Large-SUV-Executive_Euro 1,,Urban Peak,,,10,130,0,0,0.00322,0,0,0,1,0,1,1,1 
PCG_36,Passenger Cars_Petrol_Large-SUV-Executive_Euro 1,,Urban Off Peak,,,10,130,0,0,0.00322,0,0,0,1,0,1,1,1 
PCG_36,Passenger Cars_Petrol_Large-SUV-Executive_Euro 1,,Rural,,,10,130,0,0,0.00184,0,0,0,1,0,1,1,1 
PCG_36,Passenger Cars_Petrol_Large-SUV-Executive_Euro 1,,Highway,,,10,130,0,0,0.0019,0,0,0,1,0,1,1,1 
PCG_37,Passenger Cars_Petrol_Large-SUV-Executive_Euro 2,,Urban Peak,,,10,130,0,0,0.00322,0,0,0,1,0,1,1,1 
PCG_37,Passenger Cars_Petrol_Large-SUV-Executive_Euro 2,,Urban Off Peak,,,10,130,0,0,0.00322,0,0,0,1,0,1,1,1 
PCG_37,Passenger Cars_Petrol_Large-SUV-Executive_Euro 2,,Rural,,,10,130,0,0,0.00184,0,0,0,1,0,1,1,1 
PCG_37,Passenger Cars_Petrol_Large-SUV-Executive_Euro 2,,Highway,,,10,130,0,0,0.0019,0,0,0,1,0,1,1,1 
PCG_38,Passenger Cars_Petrol_Large-SUV-Executive_Euro 3,,Urban Peak,,,10,130,0,0,0.00128,0,0,0,1,0,1,1,1 
PCG_38,Passenger Cars_Petrol_Large-SUV-Executive_Euro 3,,Urban Off Peak,,,10,130,0,0,0.00128,0,0,0,1,0,1,1,1 
PCG_38,Passenger Cars_Petrol_Large-SUV-Executive_Euro 3,,Rural,,,10,130,0,0,0.000836,0,0,0,1,0,1,1,1 
PCG_38,Passenger Cars_Petrol_Large-SUV-Executive_Euro 3,,Highway,,,10,130,0,0,0.00119,0,0,0,1,0,1,1,1 
PCG_39,Passenger Cars_Petrol_Large-SUV-Executive_Euro 4,,Urban Peak,,,10,130,0,0,0.00128,0,0,0,1,0,1,1,1 
PCG_39,Passenger Cars_Petrol_Large-SUV-Executive_Euro 4,,Urban Off Peak,,,10,130,0,0,0.00128,0,0,0,1,0,1,1,1 
PCG_39,Passenger Cars_Petrol_Large-SUV-Executive_Euro 4,,Rural,,,10,130,0,0,0.000836,0,0,0,1,0,1,1,1 
PCG_39,Passenger Cars_Petrol_Large-SUV-Executive_Euro 4,,Highway,,,10,130,0,0,0.00119,0,0,0,1,0,1,1,1 
PCG_40,Passenger Cars_Petrol_Large-SUV-Executive_Euro 5,,,,,10,130,5.73E-07,-0.000125895,0.006907195,0.064229411,0.000329757,-0.087766409,6.011921291,0,1,1,1 
PCG_41,Passenger Cars_Petrol_Large-SUV-Executive_Euro 6 up to 2016,,,,,10,130,7.36E-07,-0.000158132,0.009284705,0.04108643,0.000268768,-0.077925014,6.021053229,0,1,1,1 
PCG_42,Passenger Cars_Petrol_Large-SUV-Executive_Euro 6 2017-2019,,,,,10,130,5.60E-07,-0.000116929,0.007459511,0.007401749,9.33E-05,-0.034887675,3.505106497,0,1,1,1 
PCG_43,Passenger Cars_Petrol_Large-SUV-Executive_Euro 6 2020+,,,,,10,130,5.60E-07,-0.000116929,0.007459511,0.007401749,9.33E-05,-0.034887675,3.505106497,0,1,1,1 
PCD_28,Passenger Cars_Diesel_Mini_Euro 4,,,,,10,130,1.17E-05,-0.001815729,0.151591448,2.44E-14,-4.45E-18,-3.28E-15,3.368698837,0,1,1,1 
PCD_29,Passenger Cars_Diesel_Mini_Euro 5,,,,,10,130,-2.69E-07,7.57E-05,0.023884064,0.082659395,-0.000607959,0.211453856,4.455581988,0,1,1,1 
PCD_30,Passenger Cars_Diesel_Mini_Euro 6 up to 2016,,,,,10,130,0.000479896,0.068323723,-0.339172435,0.912954411,1.168904678,0.541400612,0.291074506,0,1,1,1 
PCD_31,Passenger Cars_Diesel_Mini_Euro 6 2017-2019,,,,,10,130,0.000479896,0.068323723,-0.339172435,0.912954411,1.168904678,0.541400612,0.291074506,0,1,1,1 
PCD_32,Passenger Cars_Diesel_Mini_Euro 6 2020+,,,,,10,130,0.000479896,0.068323723,-0.339172435,0.912954411,1.168904678,0.541400612,0.291074506,0,1,1,1 
PCD_1,Passenger Cars_Diesel_Small_Conventional,,,,,10,130,0.000173921,-0.025788234,1.349384322,-8.07E-11,-7.77E-15,9.35E-13,2.998631827,0,1,1,1 
PCD_2,Passenger Cars_Diesel_Small_Euro 1,,,,,10,130,8.37E-05,-0.008631174,0.421546835,1.10E-12,-1.94E-16,-5.99E-15,3.704366464,0,1,1,1 
PCD_3,Passenger Cars_Diesel_Small_Euro 2,,,,,10,130,7.36E-05,-0.009852937,0.600890388,-9.25E-10,-8.71E-13,8.04E-11,6.938688083,0,1,1,1 
PCD_4,Passenger Cars_Diesel_Small_Euro 3,,,,,10,130,5.03E-05,-0.005455682,0.319281393,-1.30E-13,-3.07E-16,2.97E-14,6.199638692,0,1,1,1 
PCD_5,Passenger Cars_Diesel_Small_Euro 4,,,,,10,130,1.17E-05,-0.001815729,0.151591448,2.44E-14,-4.45E-18,-3.28E-15,3.368698837,0,1,1,1 
PCD_6,Passenger Cars_Diesel_Small_Euro 5,,,,,10,130,-2.69E-07,7.57E-05,0.023884064,0.082659395,-0.000607959,0.211453856,4.455581988,0,1,1,1 
PCD_7,Passenger Cars_Diesel_Small_Euro 6 up to 2016,,,,,10,130,0.000467299,0.066409498,-0.325010593,0.960762635,1.137238656,0.546179555,0.289633152,0,1,1,1 
PCD_8,Passenger Cars_Diesel_Small_Euro 6 2017-2019,,,,,10,130,0.000467299,0.066409498,-0.325010593,0.960762635,1.137238656,0.546179555,0.289633152,0,1,1,1 
PCD_9,Passenger Cars_Diesel_Small_Euro 6 2020+,,,,,10,130,0.000467299,0.066409498,-0.325010593,0.960762635,1.137238656,0.546179555,0.289633152,0,1,1,1 
PCD_10,Passenger Cars_Diesel_Medium_Conventional,,,,,10,130,0.000173921,-0.025788234,1.349384322,-8.07E-11,-7.77E-15,9.35E-13,2.998631827,0,1,1,1 
PCD_11,Passenger Cars_Diesel_Medium_Euro 1,,,,,10,130,8.37E-05,-0.008631174,0.421546835,1.10E-12,-1.94E-16,-5.99E-15,3.704366464,0,1,1,1 
PCD_12,Passenger Cars_Diesel_Medium_Euro 2,,,,,10,130,7.36E-05,-0.009852937,0.600890388,-9.25E-10,-8.71E-13,8.04E-11,6.938688083,0,1,1,1 
PCD_13,Passenger Cars_Diesel_Medium_Euro 3,,,,,10,130,5.03E-05,-0.005455682,0.319281393,-1.30E-13,-3.07E-16,2.97E-14,6.199638692,0,1,1,1 
PCD_14,Passenger Cars_Diesel_Medium_Euro 4,,,,,10,130,1.17E-05,-0.001815729,0.151591448,2.44E-14,-4.45E-18,-3.28E-15,3.368698837,0,1,1,1 
PCD_15,Passenger Cars_Diesel_Medium_Euro 5,,,,,10,130,-2.69E-07,7.57E-05,0.023884064,0.082659395,-0.000607959,0.211453856,4.455581988,0,1,1,1 
PCD_16,Passenger Cars_Diesel_Medium_Euro 6 up to 2016,,,,,10,130,0.000467299,0.066409498,-0.325010593,0.960762635,1.137238656,0.546179555,0.289633152,0,1,1,1 
PCD_17,Passenger Cars_Diesel_Medium_Euro 6 2017-2019,,,,,10,130,0.000467299,0.066409498,-0.325010593,0.960762635,1.137238656,0.546179555,0.289633152,0,1,1,1 
PCD_18,Passenger Cars_Diesel_Medium_Euro 6 2020+,,,,,10,130,0.000467299,0.066409498,-0.325010593,0.960762635,1.137238656,0.546179555,0.289633152,0,1,1,1 
PCD_19,Passenger Cars_Diesel_Large-SUV-Executive_Conventional,,,,,10,130,0.000173921,-0.025788234,1.349384322,-8.07E-11,-7.77E-15,9.35E-13,2.998631827,0,1,1,1 
PCD_20,Passenger Cars_Diesel_Large-SUV-Executive_Euro 1,,,,,10,130,8.37E-05,-0.008631174,0.421546835,1.10E-12,-1.94E-16,-5.99E-15,3.704366464,0,1,1,1 
PCD_21,Passenger Cars_Diesel_Large-SUV-Executive_Euro 2,,,,,10,130,7.36E-05,-0.009852937,0.600890388,-9.25E-10,-8.71E-13,8.04E-11,6.938688083,0,1,1,1 
PCD_22,Passenger Cars_Diesel_Large-SUV-Executive_Euro 3,,,,,10,130,5.03E-05,-0.005455682,0.319281393,-1.30E-13,-3.07E-16,2.97E-14,6.199638692,0,1,1,1 
PCD_23,Passenger Cars_Diesel_Large-SUV-Executive_Euro 4,,,,,10,130,1.17E-05,-0.001815729,0.151591448,2.44E-14,-4.45E-18,-3.28E-15,3.368698837,0,1,1,1 
PCD_24,Passenger Cars_Diesel_Large-SUV-Executive_Euro 5,,,,,10,130,-2.69E-07,7.57E-05,0.023884064,0.082659395,-0.000607959,0.211453856,4.455581988,0,1,1,1 
PCD_25,Passenger Cars_Diesel_Large-SUV-Executive_Euro 6 up to 2016,,,,,10,130,0.000467299,0.066409498,-0.325010593,0.960762635,1.137238656,0.546179555,0.289633152,0,1,1,1 
PCD_26,Passenger Cars_Diesel_Large-SUV-Executive_Euro 6 2017-2019,,,,,10,130,0.000467299,0.066409498,-0.325010593,0.960762635,1.137238656,0.546179555,0.289633152,0,1,1,1 
PCD_27,Passenger Cars_Diesel_Large-SUV-Executive_Euro 6 2020+,,,,,10,130,0.000467299,0.066409498,-0.325010593,0.960762635,1.137238656,0.546179555,0.289633152,0,1,1,1 
