Code,Copert_V_name,Technology,Mode,Road.Slope,Load,Min.Speed,Max.Speed,Alpha,Beta,Gamma,Delta,Epsilon,Zita,Hta,RF,Q,PF,T
PCG_25,Passenger Cars_Petrol_Medium_Euro 3,,,,,5,130,1.83E-05,-0.004181358,0.260842825,6.56E-12,0.000111409,-0.034236625,2.806280749,0,1,1,1 
PCG_26,Passenger Cars_Petrol_Medium_Euro 4,,,,,5,130,3.86E-05,-0.008580222,0.577346262,1.31E-12,2.70E-17,-1.31E-13,5.430520471,0,1,1,1 
PCG_27,Passenger Cars_Petrol_Medium_Euro 5,,,,,5,130,-0.000314541,0.103056777,0.239056576,-0.339279149,0.034535828,1.986012746,1.26376326,0,1,1,1 
PCG_28,Passenger Cars_Petrol_Medium_Euro 6 up to 2016,,,,,5,130,-0.000618305,0.138921401,0.19343893,-0.485843325,0.034166813,2.293105948,0.407899382,0,1,1,1 
PCG_29,Passenger Cars_Petrol_Medium_Euro 6 2017-2019,,,,,5,130,-0.000807147,0.16736765,0.127245423,-0.513614769,0.036874851,2.402432766,1.40E-06,0,1,1,1 
PCG_30,Passenger Cars_Petrol_Medium_Euro 6 2020+,,,,,5,130,-0.000807147,0.16736765,0.127245423,-0.513614769,0.036874851,2.402432766,1.40E-06,0,1,1,1 
PCG_31,Passenger Cars_Petrol_Large-SUV-Executive_PRE ECE,,,,,10,130,0.015353282,4.605984639,230.2992319,-3.28E-09,-3.95E-13,1.86E-10,153.5328213,0,1,1,1 
PCG_32,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/00-01,,,,,10,130,0.015353282,4.605984639,230.2992319,-3.28E-09,-3.95E-13,1.86E-10,153.5328213,0,1,1,1 
PCG_33,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/02,,,,,10,130,0.016384265,-0.29044834,139.2662552,-9.72E-10,-5.93E-15,1.81E-12,74.47393324,0,1,1,1 
PCG_34,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/03,,,,,10,130,0.01623684,-0.6185463,153.7529374,-6.40E-11,-9.31E-16,2.28E-13,55.2273482,0,1,1,1 
PCG_35,Passenger Cars_Petrol_Large-SUV-Executive_ECE 15/04,,,,,10,130,0.008024475,-0.422340814,73.21579681,-3.57E-09,-5.61E-14,1.35E-11,30.16720099,0,1,1,1 
PCG_36,Passenger Cars_Petrol_Large-SUV-Executive_Euro 1,,,,,5,130,0.000544944,-0.058220501,3.055055809,-3.25E-12,-6.54E-16,7.62E-14,5.822050053,0,1,1,1 
PCG_37,Passenger Cars_Petrol_Large-SUV-Executive_Euro 2,,,,,5,130,0.000383087,-0.029202016,0.952859261,-3.49E-10,0.001488664,-0.078633738,3.360416167,0,1,1,1 
PCG_38,Passenger Cars_Petrol_Large-SUV-Executive_Euro 3,,,,,5,130,1.83E-05,-0.004181358,0.260842825,6.56E-12,0.000111409,-0.034236625,2.806280749,0,1,1,1 
PCG_39,Passenger Cars_Petrol_Large-SUV-Executive_Euro 4,,,,,5,130,3.86E-05,-0.008580222,0.577346262,1.31E-12,2.70E-17,-1.31E-13,5.430520471,0,1,1,1 
PCG_40,Passenger Cars_Petrol_Large-SUV-Executive_Euro 5,,,,,5,130,-0.000314541,0.103056777,0.239056576,-0.339279149,0.034535828,1.986012746,1.26376326,0,1,1,1 
PCG_41,Passenger Cars_Petrol_Large-SUV-Executive_Euro 6 up to 2016,,,,,5,130,-0.000618305,0.138921401,0.19343893,-0.485843325,0.034166813,2.293105948,0.407899382,0,1,1,1 
PCG_42,Passenger Cars_Petrol_Large-SUV-Executive_Euro 6 2017-2019,,,,,5,130,-0.000807147,0.16736765,0.127245423,-0.513614769,0.036874851,2.402432766,1.40E-06,0,1,1,1 
PCG_43,Passenger Cars_Petrol_Large-SUV-Executive_Euro 6 2020+,,,,,5,130,-0.000807147,0.16736765,0.127245423,-0.513614769,0.036874851,2.402432766,1.40E-06,0,1,1,1 
PCD_28,Passenger Cars_Diesel_Mini_Euro 4,,,,,10,130,0.000562369,-0.076397361,4.198823205,6.25E-10,4.61E-15,-2.03E-12,3.789551629,0,1,1,1 
PCD_29,Passenger Cars_Diesel_Mini_Euro 5,,,,,10,130,6.67E-05,-0.011381467,0.945951727,1.923608149,-5.15E-05,0.004264272,1,0,1,1,1 
PCD_30,Passenger Cars_Diesel_Mini_Euro 6 up to 2016,,,,,10,130,6.67E-05,-0.011381467,0.945951727,1.923608149,-5.15E-05,0.004264272,1,0.17630645,1,1,1 
PCD_31,Passenger Cars_Diesel_Mini_Euro 6 2017-2019,,,,,10,130,6.67E-05,-0.011381467,0.945951727,1.923608149,-5.15E-05,0.004264272,1,0.370710835,1,1,1 
PCD_32,Passenger Cars_Diesel_Mini_Euro 6 2020+,,,,,10,130,6.67E-05,-0.011381467,0.945951727,1.923608149,-5.15E-05,0.004264272,1,0.694345263,1,1,1 
PCD_1,Passenger Cars_Diesel_Small_Conventional,,,,,10,130,0.000356076,-0.049357079,3.236414184,8.29E-11,4.58E-16,-3.82E-13,3.525505647,0,1,1,1 
PCD_2,Passenger Cars_Diesel_Small_Euro 1,,,,,10,120,0.000436129,-0.006386918,3.199254481,5.43E-12,-0.000519841,0.145919642,1.03348181,0,1,1,1 
PCD_3,Passenger Cars_Diesel_Small_Euro 2,,,,,10,120,0.000129115,-0.012481156,2.580260924,3.96E-11,-0.000537981,0.082526262,1.075961693,0,1,1,1 
PCD_4,Passenger Cars_Diesel_Small_Euro 3,,,,,10,120,-0.000769688,0.111214128,4.681975128,1.15E-09,-0.002377223,0.329466291,1.66239354,0,1,1,1 
PCD_5,Passenger Cars_Diesel_Small_Euro 4,,,,,10,130,0.000562369,-0.076397361,4.198823205,6.25E-10,4.61E-15,-2.03E-12,3.789551629,0,1,1,1 
PCD_6,Passenger Cars_Diesel_Small_Euro 5,,,,,10,130,6.67E-05,-0.011381467,0.945951727,1.923608149,-5.15E-05,0.004264272,1,0,1,1,1 
PCD_7,Passenger Cars_Diesel_Small_Euro 6 up to 2016,,,,,10,130,6.67E-05,-0.011381467,0.945951727,1.923608149,-5.15E-05,0.004264272,1,0.17630645,1,1,1 
PCD_8,Passenger Cars_Diesel_Small_Euro 6 2017-2019,,,,,10,130,6.67E-05,-0.011381467,0.945951727,1.923608149,-5.15E-05,0.004264272,1,0.370710835,1,1,1 
PCD_9,Passenger Cars_Diesel_Small_Euro 6 2020+,,,,,10,130,6.67E-05,-0.011381467,0.945951727,1.923608149,-5.15E-05,0.004264272,1,0.694345263,1,1,1 
PCD_10,Passenger Cars_Diesel_Medium_Conventional,,,,,10,130,0.000356076,-0.049357079,3.236414184,8.29E-11,4.58E-16,-3.82E-13,3.525505647,0,1,1,1 
PCD_11,Passenger Cars_Diesel_Medium_Euro 1,,,,,10,120,0.000436129,-0.006386918,3.199254481,5.43E-12,-0.000519841,0.145919642,1.03348181,0,1,1,1 
PCD_12,Passenger Cars_Diesel_Medium_Euro 2,,,,,10,120,0.000129115,-0.012481156,2.580260924,3.96E-11,-0.000537981,0.082526262,1.075961693,0,1,1,1 
PCD_13,Passenger Cars_Diesel_Medium_Euro 3,,,,,10,120,-0.000769688,0.111214128,4.681975128,1.15E-09,-0.002377223,0.329466291,1.66239354,0,1,1,1 
PCD_14,Passenger Cars_Diesel_Medium_Euro 4,,,,,10,130,0.000562369,-0.076397361,4.198823205,6.25E-10,4.61E-15,-2.03E-12,3.789551629,0,1,1,1 
PCD_15,Passenger Cars_Diesel_Medium_Euro 5,,,,,10,130,6.67E-05,-0.011381467,0.945951727,1.923608149,-5.15E-05,0.004264272,1,0,1,1,1 
PCD_16,Passenger Cars_Diesel_Medium_Euro 6 up to 2016,,,,,10,130,6.67E-05,-0.011381467,0.945951727,1.923608149,-5.15E-05,0.004264272,1,0.17630645,1,1,1 
PCD_17,Passenger Cars_Diesel_Medium_Euro 6 2017-2019,,,,,10,130,6.67E-05,-0.011381467,0.945951727,1.923608149,-5.15E-05,0.004264272,1,0.370710835,1,1,1 
PCD_18,Passenger Cars_Diesel_Medium_Euro 6 2020+,,,,,10,130,6.67E-05,-0.011381467,0.945951727,1.923608149,-5.15E-05,0.004264272,1,0.694345263,1,1,1 
PCD_19,Passenger Cars_Diesel_Large-SUV-Executive_Conventional,,,,,10,130,0.000313088,-0.042372779,3.133231606,6.98E-12,-3.53E-16,-9.03E-15,2.35404328,0,1,1,1 
PCD_20,Passenger Cars_Diesel_Large-SUV-Executive_Euro 1,,,,,10,120,0.000436129,-0.006386918,3.199254481,5.43E-12,-0.000519841,0.145919642,1.03348181,0,1,1,1 
PCD_21,Passenger Cars_Diesel_Large-SUV-Executive_Euro 2,,,,,10,120,0.000129115,-0.012481156,2.580260924,3.96E-11,-0.000537981,0.082526262,1.075961693,0,1,1,1 
PCD_22,Passenger Cars_Diesel_Large-SUV-Executive_Euro 3,,,,,10,120,-0.000769688,0.111214128,4.681975128,1.15E-09,-0.002377223,0.329466291,1.66239354,0,1,1,1 
PCD_23,Passenger Cars_Diesel_Large-SUV-Executive_Euro 4,,,,,10,130,0.000562369,-0.076397361,4.198823205,6.25E-10,4.61E-15,-2.03E-12,3.789551629,0,1,1,1 
PCD_24,Passenger Cars_Diesel_Large-SUV-Executive_Euro 5,,,,,10,130,6.67E-05,-0.011381467,0.945951727,1.923608149,-5.15E-05,0.004264272,1,0,1,1,1 
PCD_25,Passenger Cars_Diesel_Large-SUV-Executive_Euro 6 up to 2016,,,,,10,130,6.67E-05,-0.011381467,0.945951727,1.923608149,-5.15E-05,0.004264272,1,0.17630645,1,1,1 
PCD_26,Passenger Cars_Diesel_Large-SUV-Executive_Euro 6 2017-2019,,,,,10,130,6.67E-05,-0.011381467,0.945951727,1.923608149,-5.15E-05,0.004264272,1,0.370710835,1,1,1 
PCD_27,Passenger Cars_Diesel_Large-SUV-Executive_Euro 6 2020+,,,,,10,130,6.67E-05,-0.011381467,0.945951727,1.923608149,-5.15E-05,0.004264272,1,0.694345263,1,1,1 
PCH_1,Passenger Cars_Petrol Hybrid_Mini_Euro 4,,,,,20,130,-6.24E-05,0.010848278,-0.16587581,-3.98E-11,1.00E-14,-2.05E-12,16.58758101,0,1,1,1 
PCH_2,Passenger Cars_Petrol Hybrid_Mini_Euro 5,,,,,20,130,-6.24E-05,0.010848278,-0.16587581,-3.98E-11,1.00E-14,-2.05E-12,16.58758101,0,1,1,1 
PCH_3,Passenger Cars_Petrol Hybrid_Mini_Euro 6 up to 2016,,,,,20,130,-6.24E-05,0.010848278,-0.16587581,-3.98E-11,1.00E-14,-2.05E-12,16.58758101,0,1,1,1 
PCH_4,Passenger Cars_Petrol Hybrid_Mini_Euro 6 2017-2019,,,,,20,130,-6.24E-05,0.010848278,-0.16587581,-3.98E-11,1.00E-14,-2.05E-12,16.58758101,0,1,1,1 
PCH_5,Passenger Cars_Petrol Hybrid_Mini_Euro 6 2020+,,,,,20,130,-6.24E-05,0.010848278,-0.16587581,-3.98E-11,1.00E-14,-2.05E-12,16.58758101,0,1,1,1 
PCH_6,Passenger Cars_Petrol Hybrid_Small_Euro 4,,,,,20,130,-6.24E-05,0.010848278,-0.16587581,-3.98E-11,1.00E-14,-2.05E-12,16.58758101,0,1,1,1 
PCH_7,Passenger Cars_Petrol Hybrid_Small_Euro 5,,,,,20,130,-6.24E-05,0.010848278,-0.16587581,-3.98E-11,1.00E-14,-2.05E-12,16.58758101,0,1,1,1 
PCH_8,Passenger Cars_Petrol Hybrid_Small_Euro 6 up to 2016,,,,,20,130,-6.24E-05,0.010848278,-0.16587581,-3.98E-11,1.00E-14,-2.05E-12,16.58758101,0,1,1,1 
