,Link_ID,FID,length
0,0,6427,0.14786482557516803
1,1,6427,0.03809831005169185
2,2,6427,0.14879378314687736
3,3,6427,0.14489619954429114
4,4,6427,0.10615933505542281
5,5,6427,0.06631356904864481
6,7,6427,0.039202270840866936
7,8,6427,0.1376796093652991
8,9,6427,0.1484917285343799
9,10,6427,0.005851903349379425
10,11,6427,0.12823269747813526
11,12,6427,0.153067835089934
12,13,6427,0.13133723868042896
13,14,6427,0.11902300830792627
14,15,6427,0.08286914575662545
15,16,6427,0.05461849038272295
16,17,6427,0.03329036357216001
17,18,6427,0.12028156044952118
18,19,6427,0.068729759544686
19,21,6427,0.1327523891195531
20,22,6427,0.047120747345936166
21,24,6427,0.0538449765016832
22,25,6427,0.05466927467136671
23,26,6427,0.08898041075960415
24,27,6427,0.1366681184471001
25,28,6427,0.1340242865146517
26,29,6427,0.08414950572877081
27,30,6427,0.1417784087322795
28,31,6427,0.012112446111308474
29,32,6427,0.1684955656482108
30,35,6427,0.11358178653613235
31,36,6427,0.13261891999380512
32,37,6427,0.03737047022657311
33,38,6427,0.13127504795553305
34,39,6427,0.09486461486083293
35,41,6427,0.07807898244614671
36,42,6427,0.1524033839816118
37,43,6427,0.14948985326121994
38,44,6427,0.1815975864507979
39,45,6427,0.0730218996827075
40,46,6427,0.024337533879674158
41,47,6427,0.032659628909746045
42,50,6427,0.1285080420630799
43,52,6427,0.07919282233191122
44,53,6427,0.10461026592779851
45,55,6427,0.08996919059968403
46,57,6427,0.0546171748063812
47,58,6427,0.15028648927062216
48,59,6427,0.12407404088376456
49,60,6427,0.01972933773194078
50,61,6427,0.041942771616517896
51,62,6427,0.07587500579782824
52,64,6427,0.04775343449012486
53,65,6427,0.12149666009074112
54,70,6427,0.03875129220842379
55,71,6427,0.11843710798258707
56,72,6427,0.029460774238915376
57,73,6427,0.09683849123784666
58,76,6427,0.05386209058133028
59,77,6427,0.07276492412162887
60,78,6427,0.14715388763151
61,80,6427,0.01902063586411402
