"P_hour","operation","day_type","00","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"LEAL","arrival","weekday",0.034479655203448,0.003129968700313,0.00469995300047,0.001569984300157,0.001569984300157,0,0.010969890301097,0.025079749202508,0.0799392006079939,0.0611293887061129,0.0799392006079939,0.0799392006079939,0.0564294357056429,0.0626993730062699,0.042319576804232,0.029779702202978,0.0611293887061129,0.037619623803762,0.0595594044059559,0.0611293887061129,0.0548594514054859,0.0705292947070529,0.0454495455045449,0.036049639503605
"LEAL","departure","weekend",0.02158,0.01439,0.00719,0.0036,0.0036,0,0.02518,0.01439,0.03597,0.06115,0.07554,0.07194,0.07914,0.05396,0.03597,0.05036,0.03237,0.05755,0.06475,0.05036,0.06475,0.06115,0.06475,0.05036
"LEAL","departure","weekday",0.0204704094081882,0.0110202204044081,0.00945018900378008,0.00157003140062801,0.00157003140062801,0.00315006300126003,0.0283505670113402,0.0267705354107082,0.0503910078201564,0.0598411968239365,0.0614212284245685,0.0803116062321246,0.0834616692333847,0.0393707874157483,0.0692913858277166,0.0472409448188964,0.0315006300126003,0.0614212284245685,0.0315006300126003,0.0818916378327567,0.0551211024220484,0.0614212284245685,0.0425208504170083,0.0409408188163763
"LEAM","arrival","weekend",0,0,0,0,0,0,0,0,0.01754,0.10526,0.05263,0.07018,0.10526,0.07018,0.10526,0.01754,0.07018,0.08772,0.03509,0.10526,0.03509,0.07018,0.03509,0.01754
"LEAM","arrival","weekday",0.01493,0,0.00746,0,0,0,0,0.01493,0.0597,0.09701,0.08955,0.10448,0.02239,0.02985,0.07463,0.00746,0.0597,0.08209,0.13433,0.00746,0.06716,0.07463,0.05224,0
"LEAM","departure","weekend",0.0163903278065561,0,0,0,0,0,0,0.0491809836196724,0,0.0819716394327887,0.0983619672393448,0.0655713114262285,0.0983619672393448,0.0655713114262285,0.0163903278065561,0.114752295045901,0.0491809836196724,0.0819716394327887,0.0983619672393448,0.0327906558131163,0.0491809836196724,0.0655713114262285,0.0163903278065561,0
"LEAM","departure","weekday",0.00762992370076299,0,0,0,0,0,0,0.0763392366076339,0.04579954200458,0.122138778612214,0.0610693893061069,0.122138778612214,0.038169618303817,0.015269847301527,0.0610693893061069,0.015269847301527,0.0610693893061069,0.0839691603083969,0.122138778612214,0.0610693893061069,0.030529694703053,0.0686993130068699,0.00762992370076299,0
"LEAS","arrival","weekend",0,0,0,0,0,0,0,0.040820408204082,0.0612206122061221,0,0.0816308163081631,0.0816308163081631,0.040820408204082,0.0612206122061221,0.040820408204082,0.122451224512245,0.0816308163081631,0.0612206122061221,0.020410204102041,0.102041020410204,0.040820408204082,0.102041020410204,0.0612206122061221,0
"LEAS","arrival","weekday",0,0,0,0,0,0,0,0.0714307143071431,0.038960389603896,0.045450454504545,0.045450454504545,0.0779207792077921,0.0714307143071431,0.0779207792077921,0.110391103911039,0.0909109091090911,0.032470324703247,0.0844208442084421,0.045450454504545,0.0584405844058441,0.032470324703247,0.0779207792077921,0.032470324703247,0.00649006490064901
"LEAS","departure","weekend",0,0,0,0,0,0,0,0.02083,0.0625,0.0625,0.04167,0.04167,0.08333,0.0625,0.02083,0.125,0.125,0.04167,0.08333,0,0.10417,0.0625,0.0625,0
