P_hour,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Weekday,0.015842225,0.010048849,0.006733368,0.005273646,0.006128117,0.009770999,0.017363243,0.04810917,0.06492699,0.063862204,0.058645083,0.059476431,0.059968266,0.060836318,0.056879248,0.056275833,0.060493134,0.063096923,0.065662173,0.063600504,0.056400994,0.041827629,0.026555052,0.022223601
Saturday,0.032197927,0.02705776,0.020698165,0.018872034,0.01537935,0.015655352,0.01690489,0.022128359,0.031904863,0.04331279,0.051605405,0.058393054,0.062793033,0.064855523,0.058841684,0.045406895,0.048717919,0.0566984,0.056624632,0.058964128,0.061050204,0.059288807,0.040872428,0.031776396
Sunday,0.039692743,0.032686298,0.024451376,0.020836299,0.016435216,0.016653979,0.018271612,0.020455938,0.024189191,0.033525071,0.045765875,0.056511618,0.061672324,0.065545188,0.057889052,0.043045635,0.048786775,0.059425336,0.063384497,0.062546824,0.061754222,0.055892707,0.040472703,0.030109519
