P_hour,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
"H001",0.00333333333333333,0.00125,0.000833333333333333,0.000416666666666667,0.00125,0.00208333333333333,0.0141666666666667,0.05875,0.06125,0.0629166666666667,0.0675,0.0695833333333333,0.0704166666666667,0.0704166666666667,0.0675,0.0725,0.0670833333333333,0.0645833333333333,0.0695833333333333,0.0645833333333333,0.04875,0.0295833333333333,0.0204166666666667,0.01125
"H002",0.00917048770320967,0.00333472280116715,0.000833680700291788,0.000833680700291788,0.00166736140058358,0.00250104210087536,0.0212588578574406,0.0566902876198416,0.0675281367236348,0.0600250104210087,0.0583576490204252,0.059191329720717,0.0650270946227595,0.0625260525218841,0.0658607753230513,0.051271363067945,0.0616923718215923,0.0633597332221759,0.0875364735306378,0.0733639016256774,0.0529387244685285,0.0387661525635682,0.0229262192580242,0.0133388912046686
"H003",0.015842225,0.010048849,0.006733368,0.005273646,0.006128117,0.009770999,0.017363243,0.04810917,0.06492699,0.063862204,0.058645083,0.059476431,0.059968266,0.060836318,0.056879248,0.056275833,0.060493134,0.063096923,0.065662173,0.063600504,0.056400994,0.041827629,0.026555052,0.022223601
