engine_id,co,hc,nox_no2,fuel,pm10,pm25,co2,so2
3GE072,0.0008625,0.0002625,0.04556,1.875,0.0002228,0.0002228,5.90625,0.0009375
3GE073,0.000873,0.000291,0.04947,1.94,0.0002306,0.0002306,6.111,0.00097
3GE074,0.000873,0.000291,0.04947,1.94,0.0002306,0.0002306,6.111,0.00097
3GE075,0.000873,0.000291,0.04947,1.94,0.0002306,0.0002306,6.111,0.00097
3GE076,0.000873,0.000291,0.04947,1.94,0.0002306,0.0002306,6.111,0.00097
3GE077,0.000873,0.000291,0.04947,1.94,0.0002306,0.0002306,6.111,0.00097
3GE078,0.0008787,0.0002996,0.0526,1.997,0.0002362,0.0002362,6.29055,0.0009985
3GE079,0.0008787,0.0002996,0.0526,1.997,0.0002362,0.0002362,6.29055,0.0009985
3IA006,0.0005474,3.35e-05,0.01699,0.817,0.0002019,0.0002019,2.57355,0.0004085
3IA007,0.0005468,3.646e-05,0.0191,0.868,0.0002043,0.0002043,2.7342,0.000434
3IA008,0.0005895,4.922e-05,0.03282,1.145,0.0002237,0.0002237,3.60675,0.0005725
3RR031,0.0003408,0.0001562,0.009187,0.71,0.0001473,0.0001473,2.2365,0.000355
3RR033,0.00139,0.0002664,0.01233,0.72,0.0002993,0.0002993,2.268,0.00036
4AL002,0.0003094,9.57e-05,0.005372,0.319,2.289e-05,2.289e-05,1.00485,0.0001595
4AL003,0.0002898,9.135e-05,0.005503,0.315,2.237e-05,2.237e-05,0.99225,0.0001575
4BR005,0.0004322,4.116e-05,0.01127,0.686,9.549e-05,9.549e-05,2.1609,0.000343
4BR006,0.0004725,4.5e-05,0.0137,0.75,0.0001069,0.0001069,2.3625,0.000375
4BR007,0.0005152,4.83e-05,0.01614,0.805,0.0001167,0.0001167,2.53575,0.0004025
4BR008,0.0005524,1.188e-05,0.008952,0.594,0.0002116,0.0002116,1.8711,0.000297
4BR009,0.0005534,1.19e-05,0.008943,0.595,0.0002106,0.0002106,1.87425,0.0002975
4CM035,0.000814,0.0001702,0.01414,0.74,9.193e-05,9.193e-05,2.331,0.00037
4CM036,0.0008789,0.0001838,0.01596,0.799,0.0001042,0.0001042,2.51685,0.0003995
4CM037,0.001776,0.000111,0.01943,1.11,6.349e-05,6.349e-05,3.4965,0.000555
4CM038,0.001495,0.000115,0.02139,1.15,6.577e-05,6.577e-05,3.6225,0.000575
4CM039,0.008581,0.0001734,0.008151,0.754,5.146e-05,5.146e-05,2.3751,0.000377
4CM040,0.005507,8.37e-05,0.01018,0.837,4.885e-05,4.885e-05,2.63655,0.0004185
4CM041,0.003879,6.314e-05,0.01193,0.902,5.059e-05,5.059e-05,2.8413,0.000451
4CM042,0.002482,5.934e-05,0.01461,0.989,5.472e-05,5.472e-05,3.11535,0.0004945
4CM043,0.002035,6.198e-05,0.0161,1.033,5.715e-05,5.715e-05,3.25395,0.0005165
4GE081,4.674e-05,9.348e-05,0.05501,2.337,0.0001753,0.0001753,7.36155,0.0011685
4PW068,0.0005067,1.078e-07,0.0146,1.078,0.0001195,0.0001195,3.3957,0.000539
4PW069,0.0005067,1.078e-07,0.0146,1.078,0.0001195,0.0001195,3.3957,0.000539
4PW070,0.0005121,1.045e-07,0.01361,1.045,9.445e-05,9.445e-05,3.29175,0.0005225
4PW071,0.0004991,1.085e-07,0.0149,1.085,0.0001037,0.0001037,3.41775,0.0005425
4PW072,0.0004444,2.614e-05,0.03132,1.307,0.0001328,0.0001328,4.11705,0.0006535
4PW073,0.0005925,2.89e-05,0.03847,1.445,0.0001382,0.0001382,4.55175,0.0007225
4RR035,0.001233,0.0001305,0.007745,0.593,0.0002262,0.0002262,1.86795,0.0002965
4RR036,0.000294,6.3e-05,0.04578,2.1,0.0003421,0.0003421,6.615,0.00105
4RR037,0.0003108,4.44e-05,0.05148,2.22,0.0003599,0.0003599,6.993,0.00111
5GE083,0.0002471,9.882e-06,0.006334,0.4941,2.719e-05,2.719e-05,1.556415,0.00024705
5GE084,3.288e-08,1.644e-05,0.003183,0.3288,3.162e-05,3.162e-05,1.03572,0.0001644
5GE085,0.00074,0.0001671,0.07576,2.387,0.0002249,0.0002249,7.51905,0.0011935
5PW074,0.0005997,1.999e-07,0.03598,1.999,0.0001823,0.0001823,6.29685,0.0009995
5PW075,0.0004726,2.363e-07,0.04773,2.363,0.0002436,0.0002436,7.44345,0.0011815
5PW076,0.0006815,3.245e-07,0.1183,3.245,0.0002756,0.0002756,10.22175,0.0016225
5RR038,0.000435,1.5e-07,0.02634,1.5,0.0002984,0.0002984,4.725,0.00075
5RR039,0.0004264,1.64e-07,0.03165,1.64,0.0003263,0.0003263,5.166,0.00082
5RR040,0.0006061,3.19e-07,0.1094,3.19,0.0002199,0.0002199,10.0485,0.001595
6AL007,0.0001781,9.54e-06,0.004474,0.318,1.631e-05,1.631e-05,1.0017,0.000159
6AL010,0.000174,9.489e-06,0.004431,0.3163,1.622e-05,1.622e-05,0.996345,0.00015815
6AL013,0.00015,8.997e-06,0.004046,0.2999,1.538e-05,1.538e-05,0.944685,0.00014995
6AL016,0.000174,9.489e-06,0.004431,0.3163,1.622e-05,1.622e-05,0.996345,0.00015815
6AL019,0.0001498,8.985e-06,0.004037,0.2995,1.536e-05,1.536e-05,0.943425,0.00014975
6AL020,0.0002192,1.028e-05,0.005107,0.3425,1.757e-05,1.757e-05,1.078875,0.00017125
6AL024,2.689e-08,2.689e-06,0.004733,0.2689,1.339e-05,1.339e-05,0.847035,0.00013445
6BR010,0.0005676,1.234e-05,0.00952,0.617,0.0002227,0.0002227,1.94355,0.0003085
6CM044,0.0008415,0.000187,0.02169,0.935,7.496e-05,7.496e-05,2.94525,0.0004675
6GE087,0.000342,6.84e-05,0.07244,2.28,0.00013,0.00013,7.182,0.00114
6GE088,0.0003452,6.903e-05,0.07384,2.301,0.0001312,0.0001312,7.24815,0.0011505
6GE089,0.0003315,7.65e-05,0.09223,2.55,0.0001517,0.0001517,8.0325,0.001275
6GE090,0.0003553,0.0001093,0.108,2.733,0.0001683,0.0001683,8.60895,0.0013665
6GE096,0.000273,1.437e-05,0.005748,0.479,2.632e-05,2.632e-05,1.50885,0.0002395
6RR042,0.0007772,6.12e-08,0.009186,0.612,4.919e-05,4.919e-05,1.9278,0.000306
7CM045,0.0007245,1.035e-07,0.02463,1.035,0.0003584,0.0003584,3.26025,0.0005175
7CM046,0.0007595,1.085e-07,0.02723,1.085,0.0003999,0.0003999,3.41775,0.0005425
7CM047,0.0008001,1.143e-07,0.03052,1.143,0.0004464,0.0004464,3.60045,0.0005715
7CM048,0.0005832,7.29e-05,0.01217,0.729,4.461e-05,4.461e-05,2.29635,0.0003645
7CM049,0.0006352,7.94e-05,0.01421,0.794,5.048e-05,5.048e-05,2.5011,0.000397
7CM050,0.006472,0.0002397,0.008549,0.799,5.784e-05,5.784e-05,2.51685,0.0003995
7GE097,0.0002429,0.0001041,0.1175,3.47,0.0002043,0.0002043,10.9305,0.001735
7GE098,0.0002506,0.0001074,0.1256,3.58,0.0002129,0.0002129,11.277,0.00179
7GE099,0.0002569,0.0001101,0.132,3.67,0.00022,0.00022,11.5605,0.001835
7PW077,0.0006629,2.641e-08,0.005087,0.2641,1.598e-05,1.598e-05,0.831915,0.00013205
7PW078,0.0006629,2.641e-08,0.005087,0.2641,1.598e-05,1.598e-05,0.831915,0.00013205
7PW079,0.000317,2.991e-08,0.004205,0.2991,0.0001337,0.0001337,0.942165,0.00014955
7PW081,0.000396,2.2e-07,0.04105,2.2,0.0002202,0.0002202,6.93,0.0011
7PW082,0.0004726,2.363e-07,0.04773,2.363,0.0002436,0.0002436,7.44345,0.0011815
7PW083,0.0006192,8.6e-07,0.01152,0.86,0.0001267,0.0001267,2.709,0.00043
7PW084,0.0007606,1.878e-06,0.01488,0.939,0.0001479,0.0001479,2.95785,0.0004695
8AL025,0.0002931,7.354e-05,0.003682,0.2527,1.798e-05,1.798e-05,0.796005,0.00012635
8CM051,0.0005994,9.99e-05,0.02248,0.999,0.0001161,0.0001161,3.14685,0.0004995
