engine_id,co,hc,nox_no2,fuel,pm10,pm25,co2,so2
2RR026,0.0006305,9.7e-07,0.01074,0.97,6.136e-05,6.136e-05,3.0555,0.000485
2RR027,0.00057,1e-06,0.01158,1,6.487e-05,6.487e-05,3.15,5e-04
3CM020,0.008547,0.001369,0.002701,0.37,9.583e-05,9.583e-05,1.1655,0.000185
3CM021,0.009894,0.001802,0.00221,0.34,0.0001187,0.0001187,1.071,0.00017
3CM022,0.006665,0.000124,0.002697,0.31,3.684e-05,3.684e-05,0.9765,0.000155
3CM023,0.00069,0.0001725,0.003692,0.345,2.681e-05,2.681e-05,1.08675,0.0001725
3CM024,0.0006764,0.000178,0.00388,0.356,2.766e-05,2.766e-05,1.1214,0.000178
3CM025,0.0006222,0.000183,0.004099,0.366,2.844e-05,2.844e-05,1.1529,0.000183
3CM026,0.0007176,0.000156,0.00312,0.312,2.424e-05,2.424e-05,0.9828,0.000156
3CM027,0.000884,0.000182,0.002262,0.26,2.323e-05,2.323e-05,0.819,0.00013
3CM028,0.0007975,0.000165,0.00253,0.275,2.303e-05,2.303e-05,0.86625,0.0001375
3CM029,0.000936,2.6e-05,0.002366,0.26,1.419e-05,1.419e-05,0.819,0.00013
3CM030,0.0008768,2.74e-05,0.002603,0.274,1.496e-05,1.496e-05,0.8631,0.000137
3CM031,0.000745,2.98e-05,0.00298,0.298,1.627e-05,1.627e-05,0.9387,0.000149
3CM032,0.0006952,3.16e-05,0.003192,0.316,1.725e-05,1.725e-05,0.9954,0.000158
3CM034,0.0004886,3.49e-05,0.003839,0.349,1.905e-05,1.905e-05,1.09935,0.0001745
3GE056,0.001327,7.601e-05,0.008734,0.691,3.811e-05,3.811e-05,2.17665,0.0003455
3GE057,0.001276,7.667e-05,0.00888,0.697,3.844e-05,3.844e-05,2.19555,0.0003485
3GE058,0.001355,7.568e-05,0.008689,0.688,3.794e-05,3.794e-05,2.1672,0.000344
3GE066,0.000862,6.419e-05,0.01627,0.917,5.709e-05,5.709e-05,2.88855,0.0004585
3GE067,0.002966,0.0002072,0.005541,0.592,4.417e-05,4.417e-05,1.8648,0.000296
3GE068,0.002966,0.0002072,0.005541,0.592,4.417e-05,4.417e-05,1.8648,0.000296
3GE069,0.002719,0.0001938,0.006075,0.625,4.613e-05,4.613e-05,1.96875,0.0003125
3GE070,0.002558,0.0001859,0.006468,0.641,4.707e-05,4.707e-05,2.01915,0.0003205
3GE071,0.002558,0.0001859,0.006468,0.641,4.707e-05,4.707e-05,2.01915,0.0003205
3GE072,0.002558,0.0001859,0.006468,0.641,4.707e-05,4.707e-05,2.01915,0.0003205
3GE073,0.00246,0.0001856,0.006736,0.663,4.835e-05,4.835e-05,2.08845,0.0003315
3GE074,0.00246,0.0001856,0.006736,0.663,4.835e-05,4.835e-05,2.08845,0.0003315
3GE075,0.00246,0.0001856,0.006736,0.663,4.835e-05,4.835e-05,2.08845,0.0003315
3GE076,0.00246,0.0001856,0.006736,0.663,4.835e-05,4.835e-05,2.08845,0.0003315
3GE077,0.00246,0.0001856,0.006736,0.663,4.835e-05,4.835e-05,2.08845,0.0003315
3GE078,0.002281,0.0001734,0.006997,0.667,4.773e-05,4.773e-05,2.10105,0.0003335
3GE079,0.002281,0.0001734,0.006997,0.667,4.773e-05,4.773e-05,2.10105,0.0003335
3IA006,0.0008086,1.928e-05,0.002706,0.311,6.169e-05,6.169e-05,0.97965,0.0001555
3IA007,0.0007774,2.001e-05,0.002952,0.328,6.741e-05,6.741e-05,1.0332,0.000164
3IA008,0.0006437,2.029e-05,0.004225,0.3901,8.645e-05,8.645e-05,1.228815,0.00019505
3RR031,0.00044,2.75e-05,0.001315,0.25,3.863e-05,3.863e-05,0.7875,0.000125
3RR033,0.001589,0.000221,0.00124,0.26,3.752e-05,3.752e-05,0.819,0.00013
4AL002,0.0004446,8.424e-05,0.0008447,0.117,1.047e-05,1.047e-05,0.36855,5.85e-05
4AL003,0.0003838,7.488e-05,0.0009114,0.117,9.94e-06,9.94e-06,0.36855,5.85e-05
4BR005,0.000972,4.8e-06,0.0021,0.24,1.645e-05,1.645e-05,0.756,0.00012
4BR006,0.0009226,5.14e-06,0.002316,0.257,1.901e-05,1.901e-05,0.80955,0.0001285
4BR007,0.0008786,5.44e-06,0.002511,0.272,2.14e-05,2.14e-05,0.8568,0.000136
4BR008,0.001023,1.07e-05,0.001644,0.214,1.216e-05,1.216e-05,0.6741,0.000107
4BR009,0.001029,1.07e-05,0.001641,0.214,1.207e-05,1.207e-05,0.6741,0.000107
4CM035,0.0008091,0.0001305,0.002221,0.261,2.707e-05,2.707e-05,0.82215,0.0001305
4CM036,0.0007728,0.0001242,0.002467,0.276,2.828e-05,2.828e-05,0.8694,0.000138
4CM037,0.008346,0.001287,0.002964,0.39,9.224e-05,9.224e-05,1.2285,0.000195
4CM038,0.00796,0.00116,0.00312,0.4,8.56e-05,8.56e-05,1.26,2e-04
4CM039,0.003161,0.0001001,0.00261,0.278,2.132e-05,2.132e-05,0.8757,0.000139
4CM040,0.009354,0.001836,0.00193,0.303,0.000119,0.000119,0.95445,0.0001515
4CM041,0.00949,0.001881,0.002103,0.313,0.0001221,0.0001221,0.98595,0.0001565
4CM042,0.008707,0.00158,0.002425,0.334,0.0001062,0.0001062,1.0521,0.000167
4CM043,0.008522,0.001478,0.002643,0.351,0.0001013,0.0001013,1.10565,0.0001755
4GE081,0.001071,6.696e-05,0.009419,0.744,4.019e-05,4.019e-05,2.3436,0.000372
4PW068,0.001357,3.833e-08,0.002936,0.3833,2.869e-05,2.869e-05,1.207395,0.00019165
4PW069,0.001357,3.833e-08,0.002936,0.3833,2.869e-05,2.869e-05,1.207395,0.00019165
4PW070,0.001376,3.63e-08,0.002777,0.363,2.504e-05,2.504e-05,1.14345,0.0001815
4PW071,0.001363,3.817e-08,0.00292,0.3817,2.634e-05,2.634e-05,1.202355,0.00019085
4PW072,0.0008931,5.038e-05,0.004475,0.458,3.331e-05,3.331e-05,1.4427,0.000229
4PW073,0.0007043,4.96e-05,0.005203,0.496,3.799e-05,3.799e-05,1.5624,0.000248
4RR035,0.001277,7.293e-05,0.001116,0.221,0.0001175,0.0001175,0.69615,0.0001105
4RR036,0.0008658,7.4e-07,0.007163,0.74,7.302e-05,7.302e-05,2.331,0.00037
4RR037,0.0008085,7.7e-07,0.007631,0.77,7.561e-05,7.561e-05,2.4255,0.000385
5GE083,0.0004892,1.009e-05,0.001866,0.1681,8.798e-06,8.798e-06,0.529515,8.405e-05
5GE084,0.0002181,1.508e-05,0.0007691,0.116,8.651e-06,8.651e-06,0.3654,5.8e-05
5GE085,0.0009287,0.0001359,0.007769,0.755,4.461e-05,4.461e-05,2.37825,0.0003775
5PW074,0.002519,6.63e-07,0.007359,0.663,3.377e-05,3.377e-05,2.08845,0.0003315
5PW075,0.001942,8.09e-07,0.009789,0.809,4.161e-05,4.161e-05,2.54835,0.0004045
5PW076,0.0007525,1.075e-07,0.01601,1.075,6.699e-05,6.699e-05,3.38625,0.0005375
5RR038,0.001414,2.08e-05,0.004358,0.52,3.296e-05,3.296e-05,1.638,0.00026
5RR039,0.001337,2.75e-05,0.004758,0.55,3.518e-05,3.518e-05,1.7325,0.000275
5RR040,0.000567,1.05e-06,0.01196,1.05,6.694e-05,6.694e-05,3.3075,0.000525
6AL007,0.0007594,3.39e-06,0.0008057,0.113,5.733e-06,5.733e-06,0.35595,5.65e-05
6AL010,0.000765,3.375e-06,0.000801,0.1125,5.708e-06,5.708e-06,0.354375,5.625e-05
6AL013,0.0008207,3.231e-06,0.0007464,0.1077,5.464e-06,5.464e-06,0.339255,5.385e-05
6AL016,0.0007646,3.378e-06,0.0008017,0.1126,5.713e-06,5.713e-06,0.35469,5.63e-05
6AL019,0.0008231,3.228e-06,0.0007457,0.1076,5.459e-06,5.459e-06,0.33894,5.38e-05
6AL020,0.0006756,3.6e-06,0.0008904,0.12,6.088e-06,6.088e-06,0.378,6e-05
6AL024,0.0001605,2.081e-05,0.000665,0.0991,6.032e-06,6.032e-06,0.312165,4.955e-05
6BR010,0.001058,1.075e-05,0.001658,0.215,1.246e-05,1.246e-05,0.67725,0.0001075
6CM044,0.0007176,0.000156,0.00312,0.312,2.424e-05,2.424e-05,0.9828,0.000156
6GE087,0.001206,4.578e-05,0.01151,0.763,5.279e-05,5.279e-05,2.40345,0.0003815
6GE088,0.00119,4.608e-05,0.01167,0.768,5.314e-05,5.314e-05,2.4192,0.000384
6GE089,0.001082,4.16e-05,0.01351,0.832,5.77e-05,5.77e-05,2.6208,0.000416
6GE090,0.001018,4.39e-05,0.01487,0.878,6.217e-05,6.217e-05,2.7657,0.000439
6GE096,0.0007948,1.191e-05,0.001676,0.1702,9.003e-06,9.003e-06,0.53613,8.51e-05
6RR042,0.001203,2.41e-07,0.00135,0.241,1.255e-05,1.255e-05,0.75915,0.0001205
7CM045,0.0007182,3.42e-07,0.003181,0.342,2.872e-05,2.872e-05,1.0773,0.000171
7CM046,0.0006745,3.55e-07,0.003408,0.355,2.966e-05,2.966e-05,1.11825,0.0001775
7CM047,0.000592,3.7e-07,0.003663,0.37,3.074e-05,3.074e-05,1.1655,0.000185
7CM048,0.001022,0.0002358,0.002201,0.262,2.636e-05,2.636e-05,0.8253,0.000131
7CM049,0.001036,0.000224,0.002464,0.28,2.66e-05,2.66e-05,0.882,0.00014
7CM050,0.006216,0.0001184,0.00225,0.296,3.492e-05,3.492e-05,0.9324,0.000148
7GE097,0.002473,6.48e-05,0.01704,1.08,6.406e-05,6.406e-05,3.402,0.00054
7GE098,0.002342,6.66e-05,0.01798,1.11,6.598e-05,6.598e-05,3.4965,0.000555
7GE099,0.002237,6.78e-05,0.01865,1.13,6.724e-05,6.724e-05,3.5595,0.000565
7PW077,0.0006925,9.74e-08,0.001156,0.0974,4.774e-06,4.774e-06,0.30681,4.87e-05
7PW078,0.0006925,9.74e-08,0.001156,0.0974,4.774e-06,4.774e-06,0.30681,4.87e-05
7PW079,0.0005039,2.47e-06,0.0009917,0.1235,1.494e-05,1.494e-05,0.389025,6.175e-05
7PW081,0.002175,7.66e-07,0.0091,0.766,3.939e-05,3.939e-05,2.4129,0.000383
7PW082,0.001942,8.09e-07,0.009789,0.809,4.161e-05,4.161e-05,2.54835,0.0004045
7PW083,0.001213,3.04e-07,0.001809,0.304,2.604e-05,2.604e-05,0.9576,0.000152
7PW084,0.001199,3.25e-07,0.002236,0.325,2.784e-05,2.784e-05,1.02375,0.0001625
8AL025,0.0004036,6.563e-05,0.0006394,0.0943,8.318e-06,8.318e-06,0.297045,4.715e-05
8CM051,0.0005408,3.38e-05,0.00365,0.338,1.845e-05,1.845e-05,1.0647,0.000169
8CM052,0.0008779,1.735e-05,0.00322,0.347,2.189e-05,2.189e-05,1.09305,0.0001735
8CM053,0.0008341,1.79e-05,0.003372,0.358,2.259e-05,2.259e-05,1.1277,0.000179
8CM054,0.0007897,1.845e-05,0.003528,0.369,2.328e-05,2.328e-05,1.16235,0.0001845
8CM055,0.001024,1.58e-05,0.002797,0.316,1.994e-05,1.994e-05,0.9954,0.000158
8CM056,0.001304,2.112e-05,0.00212,0.264,1.71e-05,1.71e-05,0.8316,0.000132
8CM057,0.001214,1.953e-05,0.002313,0.279,1.792e-05,1.792e-05,0.87885,0.0001395
8CM058,0.001024,1.58e-05,0.002797,0.316,1.994e-05,1.994e-05,0.9954,0.000158
8CM059,0.001331,2.08e-05,0.00207,0.26,1.684e-05,1.684e-05,0.819,0.00013
8CM060,0.001229,1.946e-05,0.002296,0.278,1.785e-05,1.785e-05,0.8757,0.000139
8CM061,0.001418,2.048e-05,0.001992,0.256,1.658e-05,1.658e-05,0.8064,0.000128
