ID,CO,SO2,NO,NO2,HONO,NH3,PMC,PEC,PMFINE,PNO3,POC,PSO4,PAR,OLE,TOL,XYL,FORM,ALD2,ETH,ISOP,MEOH,ETOH,ETHA,IOLE,ALDX,TERP,BENZENE
biomass,1,1,0.9,0.1,0,1,1,0.07,0.5,0,0.43,0,0.001628,0.0009462,0.00005631,0.006144,0.0002198,0.00005448,0,0,0,0,0,0,0.0005552,0,0
others,1,1,0.9,0.1,0,1,1,0.067,0.443,0,0.49,0,0.0451,0,0.000493,0,0.00606,0,0,0,0,0,0,0,0,0,0.00116
