name,code,N_LC,GT_LC,N_DC,GT_DC,N_GC,GT_GC,N_RO,GT_RO,N_FE,GT_FE,N_CR,GT_CR,N_CO,GT_CO,N_TU,GT_TU,N_OT,GT_OT
Barcelona,BAR,426,8713,57,13729,286,2298,547,17831,1258,14894,375,45518,1072,19716,12,614,52,973
Tarragona,TRG,616,8785,140,11935,401,3523,80,20517,0,0,0,23713,129,12067,5,342,39,105
