"nuts3_na","nuts3_id","pigs_fact","pigs_01","pigs_02","pigs_03","pigs_04","pigs_05","pigs_06","pigs_07","pigs_08","pigs_09","pigs_10"
"Barcelona","08",1,0.344965565902606,0.2172226477372,0.196320832615333,0.118521353271715,0.0228005964336832,0.000434876910808376,0.0138530039938008,0.00767612107190635,0.0627717640944966,0.0154332379684508
"Girona","17",1,0.220021776381551,0.21273806761388,0.208515546908468,0.242391653577038,0.0304579287448236,0.00181395473368556,0.0123061098814794,0.00899056654291018,0.0417800853205769,0.0209843102955876
"Lleida","25",1,0.258377366047302,0.260394869065279,0.169340530968875,0.227456229414768,0.0130355278743578,0.000293690018916359,0.00718780807686106,0.00752889671659095,0.0431631344866695,0.0132219473303804
"Tarragona","43",1,0.342447394816139,0.170385025626671,0.208798525803736,0.182637479616353,0.00500658426265801,0.000525892798449464,0.00541372707436082,0.00533738779716654,0.0626512206862477,0.0167967615182186
