"nuts3_na","nuts3_id","sheep_fact","sheep_01","sheep_02","sheep_03","sheep_04","sheep_05","sheep_06","sheep_07"
"Barcelona","08",1,0.333936921561282,0.018357407484494,0.0453384950533516,0.000457894517753819,0.0384076371255325,0.00670884846466581,0.556792795792921
"Girona","17",1,0.320885813409759,0.0204860849234482,0.0461007617467381,0.00132928576815748,0.0381910400482691,0.0192605023003243,0.553746511803303
"Lleida","25",1,0.275828382134832,0.0179797333901722,0.0494320553468503,0.000381886162399311,0.0419897157168359,0.00555067096510626,0.608837556283804
"Tarragona","43",1,0.421088094538795,0.0175532558179714,0.0392875036713256,0.000725626716884643,0.0329641851384738,0.0106425251809748,0.477738808935575
