ID,CO,SO2,NO,NO2,HONO,NH3,ALD2,ALDX,BENZENE,ETH,ETHA,ETOH,FORM,IOLE,ISOP,MEOH,OLE,PAR,TERP,TOL,XYL,PEC,PMFINE,PNO3,POC,PSO4,PMC
default,1,1,0.9,0.1,0,0,0.001084,0.000756,0.000248,0.00622,0.000293,0,0.005437,0.000086,0,0,0.003296,0.011816,0,0.000192,0.000124,0.48,0.268,0,0.18,0.072,1
landing_wear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0392,0.7474,0.0024,0.1608,0.0502,1

